Today's date is: 8/1/2016	The time is: 1:47
Apple & Eve® 100% Apple Juice 64 fl. oz. Plastic Bottle	   $2.34   3.7¢ / fl oz  Out of stock      
Juicy Juice Apple 100% Juice, 6.75 fl oz, 8 count	   $2.78   5.2¢ / fl oz  Out of stock      
Martinelli's Gold Medal® 10 Oz Apple Juice 100% Pure 4 Ct Glass Bottles	   $4.91   12.3¢ / fl oz  Out of stock      
Tree Top 100% Apple Juice, 64 fl oz	   $2.48   3.9¢ / fl oz  Out of stock      
Great Value Cranberry Apple Juice, 128 fl oz	   $3.98   3.1¢ / fl oz  Out of stock      
Arm & Hammer Pure Baking Soda, 4 lb	   $12.02       
Arm & Hammer Baking Soda, 192 oz	   $7.57   3.9¢ / oz     
ARM & HAMMER Pure Baking Soda 16 oz (Pack of 6)	   $14.42       
ARM & HAMMER Pure Baking Soda 16 oz (Pack of 3)	   $8.71       
ARM & HAMMER Pure Baking Soda 16 oz (Pack of 2)	   $7.49       
ARM & HAMMER Pure Baking Soda 16 oz (Pack of 4)	   $10.74       
A&H BAKING SODA 16oz	   $6.46       
Smartfood Delight Sea Salt Popcorn, 5.5 oz	   $2.98   54.2¢ / oz     
Silk Vanilla Almondmilk, 8 fl oz, 6 count	   $6.42   13.4¢ / fl oz     
Reese Small Artichoke Hearts, 14 oz	   $3.65   26.1¢ / oz     
Reese Medium Artichoke Hearts, 14 oz	   $3.08   22.0¢ / oz     
Reese Quartered Artichoke Hearts, 14 oz (Pack of 12)	   $45.41   27.0¢ / oz     
Reese Large Artichoke Hearts, 14 oz (Pack of 12)	   $35.27   21.0¢ / oz     
Vigo Artichoke Hearts, 14 oz (Pack of 12)	   $44.54    List price  $58.03     Save $13.49   
Reese Small Artichoke Hearts, 14 oz (Pack of 12)	   $43.80   26.1¢ / oz     
Reese Quartered Marinated Artichoke Hearts, 12 oz (Pack of 12)	   $38.39   26.7¢ / oz     
Reese Quartered Marinated Artichoke Hearts, 7.5 oz (Pack of 12)	   $42.96   47.7¢ / oz     
Vigo Quartered Artichoke Hearts, 14 oz (Pack of 12)	   $42.98    List price  $56.0     Save $13.02   
Roland Hearts Quartered Artichoke, 13.75 oz (Pack of 12)	   $47.80   29.0¢ / oz     
Roland Extra Large Artichoke Hearts, 13.75 oz,(Pack of 6)	   $2.76   20.1¢ / oz     
Reese Artichoke Bottoms, 14 oz (Pack of 12)	   $36.50   21.7¢ / oz     
Delallo Quartered In Brine Artichoke Hearts, 13.75 oz	   $49.86    List price  $67.45     Save $17.59   
Reese Medium Artichoke Hearts, 14 oz (Pack of 12)	   $35.72   21.3¢ / oz     
Reese Extra Small Artichoke Hearts, 14 oz (Pack of 12)	   $43.43   25.9¢ / oz     
Cara Mia California Style Marinated Artichoke Hearts, 14.75 oz	   $2.96   20.1¢ / oz  Out of stock      
Roland Quartered Artichoke Hearts, 13.75 oz	   $2.32   16.9¢ / oz  Out of stock      
Reese Quartered Artichoke Hearts, 14 oz	   $2.72   19.4¢ / oz  Out of stock      
Vigo Quartered, Marinated Artichoke Hearts, 12 oz	   $2.62    Out of stock      
Cara Mia California Style Marinated Artichoke Hearts, 6.5 oz	   $2.00   30.8¢ / oz  Out of stock      
Great Value: Asparagus Spears, 15 oz	   $2.48   16.5¢ / oz     
Green Giant® Extra Long Asparagus Spears 15 oz. Can	   $2.98   19.9¢ / oz     
Del Monte Harvest Selects Extra Long Asparagus Spears, 15 oz	   $3.01   20.1¢ / oz     
Green Giant Cut Asparagus Spears, 14.5 oz (Pack of 4)	   $8.32       
KC Masterpiece Barbecue Sauce, Hickory Brown Sugar, 40 Ounces	   $2.50   6.3¢ / oz     
Jack Daniel's Hickory Brown Sugar Barbecue Sauce, 40 oz	   $3.91   9.8¢ / oz     
Kraft Sweet Honey Barbecue Sauce, 40 oz	   $2.07   5.2¢ / oz     
Jack Daniel's Original No. 7 Recipe Barbecue Sauce, 40 oz	   $3.72   9.3¢ / oz     
Sweet Baby Ray's Honey Barbecue Sauce, 40 oz	   $2.98   7.5¢ / oz     
Jack Daniel's Honey Smokehouse Barbecue Sauce, 19 oz	   $2.28   12.0¢ / oz     
KC Masterpiece Barbecue Sauce, Original, 40 Ounces	   $2.50   6.3¢ / oz     
Sweet Baby Ray's Original Barbecue Sauce, 28 oz	   $2.56   9.1¢ / oz     
Kraft Original Barbecue Sauce, 82.5 oz	   $4.36   5.3¢ / oz     
Jack Daniel's Original No.7 Recipe Barbecue Sauce, 19 oz	   $2.18   11.5¢ / oz     
Sweet Baby Ray's Sweet 'n Spicy Barbecue Sauce, 40 oz	   $2.98   7.5¢ / oz     
Jack Daniel's Hickory Brown Sugar Barbecue Sauce, 19 oz	   $2.28   12.0¢ / oz     
Famous Dave's® Devil's Spit™ BBQ Sauce 19 oz. Plastic Bottle	   $2.43   12.8¢ / oz  Out of stock      
Jack Daniel??????????s Steakhouse Barbecue Sauce, 19 oz	   $2.28   12.0¢ / oz  Out of stock      
Sweet Baby Ray's Barbecue Sauce, 1 Gal	   $10.38   6.5¢ / fl oz  Out of stock      
Sweet Baby Ray's Hickory & Brown Sugar Barbecue Sauce, 28 oz	   $2.56   9.1¢ / oz  Out of stock      
Kraft Sweet Honey Barbecue Sauce, 28 oz	   $2.28   8.1¢ / oz  Out of stock      
KC Masterpiece Barbecue Sauce, Hickory Brown Sugar, 28 Ounces	   $2.56   9.1¢ / oz  Out of stock      
KC Masterpiece Sweet Honey and Molasses Barbecue Sauce, 40 Ounces	   $2.50   6.3¢ / oz  Out of stock      
Sweet Baby Ray's Barbecue Sauce, 80 oz	   $6.86   8.6¢ / oz  Out of stock      
WNY's Own Aunt Nellie's Sliced Pickled Beet Vegetables 16 Oz.	   $4.99    List price  $5.99     Save $1.00   
S&W Sliced Beets, 15 oz (Pack of 12)	   $26.82   14.9¢ / oz     
Othentic Sliced Red Beets, 25.04 oz (Pack of 6)	   $31.14   20.7¢ / oz     
Great Value: Dried Mixed Berry, 5 oz	   $2.98   59.6¢ / oz     
Acai Berry Cleanse Supplement, 56ct	   $9.96   17.8¢ / each     
Gatorade G Frost Rain Berry Thirst Quencher Sports Drink, 12 fl oz, 12 pack	   $5.98   4.2¢ / fl oz     
Goji Berries, Heaven Mountian Dragon Herbs 8 oz (227 gm) Bag	   $11.87       
5-Hour Energy Berry Dietary Supplement Value Pack, 10ct	   $17.98   93.2¢ / fl oz     
Propel Flavored Water Berry 16.9 oz, 12 ct	   $5.98   3.0¢ / fl oz     
Lipton Black Bavarian Wild Berry Tea, 20ct (Pack of 6)	   $21.40   17.8¢ / oz     
Great Value Berry Pomegranate Drink Mix, 6 count, 2.5 oz	   $2.08   83.2¢ / oz     
BlackBerry Priv STV100-1 GSM Slider Android Smartphone (Unlocked)	   $529.99    Was $699.99    Save $170.00   
Minute Maid Juices To Go 100% Mixed Berry Juice, 6pk	   $3.65   6.1¢ / fl oz     
Culturelle Kids! Chewables Natural Bursting Berry Flavor Probiotic Tablets, 30 count	   $18.52   61.7¢ / each     
Fruit Of The Earth Aloe Vera Whole Leaf Wild Berry Flavor Juice	   $4.73   14.8¢ / fl oz     
BlackBerry Torch 9810 GSM Cell Phone, Grey (Unlocked)	   $88.96    Was $115.99    Save $27.03   
BlackBerry Classic 16GB GSM 4G LTE Smartphone (Unlocked), Black	   $331.97    List price  $539.99     Save $208.02   
Wellesse Dietary Joint Movement Glucosamine Natural Berry Flavor Supplement 16 Fl Oz	   $12.84   80.3¢ / fl oz     
Slimquick Pure Mixed Berries Weight Loss Gummies for Women, 60 count	   $19.88   33.1¢ / each     
Ocean Spray No Sugar Added Cranberry Blueberry Blackberry, 100% Juice, 60 fl oz	   $3.13   5.2¢ / fl oz  Out of stock      
Spring Valley Whole Herb Hawthorn Berries Capsules, 565 mg, 100 count	   $5.98   6.0¢ / each  Out of stock      
Lipton Tea and Honey Blackberry Pomegranate Iced Green Tea To Go Packets, 10 ct	   $2.48   $1.91 / oz  Out of stock      
Fiber Advance Mixed Berry Flavors Fiber Supplement Gummies, 90 count	   $9.83   10.9¢ / each  Out of stock      
Goya Black Beans, 15.5 oz (Pack of 24)	   $30.91   8.3¢ / oz     
S&W Premium 50% Less Sodium Black Beans, 15 oz (Pack of 12)	   $18.83   10.5¢ / oz     
Progresso Black Beans, 15 oz (Pack of 12)	   $16.66   9.3¢ / oz     
La Preferida Low Sodium Black Beans, 15 oz, (Pack of 12)	   $19.89   11.1¢ / oz     
Goya Black Beans, 29 oz	   $2.00       
Kuner's Southwestern Black Beans, 15 oz (Pack of 12)	   $17.86   9.9¢ / oz     
Kuner's Black Beans, 15 oz (Pack of 12)	   $19.76   11.0¢ / oz     
Kuner's Southwestern Black Beans With Cumin & Chili Spices, 15 oz (Pack of 12)	   $17.03   9.5¢ / oz     
Kuner's Of Colorado Southwestern Refried Black Beans With Roasted Chiles, 15.5 oz (Pack of 12)	   $16.41   8.8¢ / oz     
La Preferida Black Beans, 15 oz (Pack of 24)	   $28.48   7.9¢ / oz     
S&W Premium Black Beans, 15 oz (Pack of 12)	   $16.95   9.4¢ / oz     
Eden Foods Black Beans Canned 108 Oz -Pack of 6	   $79.33    List price  $107.23     Save $27.90   
Musco Family Olive Co. Pearls Sliced California Ripe Olives, 6.5 oz	   $2.48   38.2¢ / oz     
Lindsay Naturals Black Ripe Olives, 6 oz (Pack of 3)	   $6.78       
Musco Family Olive Co. Early California Sliced California Ripe Olives, 6.5 oz	   $2.48   38.2¢ / oz     
Musco Family Olive Co. Olives To Go! Black Pitted Large California Ripe Olives, 1.2 oz, 4 ct	   $3.56   74.2¢ / oz     
Tones Restaurant Black Pepper, 8 Oz	   $4.78   59.8¢ / oz     
Great Value Pure Ground Black Pepper, 6 oz	   $5.98   99.7¢ / oz     
McCormick Pure Ground Black Pepper, 1.5 oz	   $2.44   $1.63 / oz     
McCormick Pure Ground Black Pepper, 7.75 oz	   $7.94   $1.02 / oz     
McCormick Pure Ground Black Pepper, 6 oz	   $6.80   $1.13 / oz     
McCormick Table Grind Black Pepper, 16 oz	   $15.60   97.5¢ / oz     
Watkins: Pure Ground Black Pepper, 4 oz	   $4.18   $1.04 / oz     
McCormick Peppercorn Medley Grinder, 0.85 oz	   $2.06   $2.42 / oz     
McCormick Whole Black Pepper, 17.5 oz	   $22.27       
McCormick Pure Ground Black Pepper, 16 oz	   $19.98       
Tones Whole Black Peppercorns, 9 oz	   $5.48   60.9¢ / oz     
Great Value Pure Ground Black Pepper, 3 oz (Pack of 3)	   $9.54       
Spice Islands Fine Ground Black Pepper, 2.1 oz (Pack of 3)	   $25.14   $3.99 / oz     
Simply Organic Black Pepper, 2.31 oz (Pack of 6)	   $45.20   $3.26 / oz     
Tone's: Restaurant Black Pepper, 1.65 oz	   $18.32    List price  $24.87     Save $6.55   
Tone's: Ground Black Pepper, 1.62 oz	   $23.44    List price  $30.6     Save $7.16   
TexJoy Black Pepper, 8 oz	   $8.38   $1.05 / oz     
McCormick Pure Ground Black Pepper, 3 oz	   $3.48   $1.16 / oz  Out of stock      
McCormick Coarse Ground Black Pepper, 3.12 oz	   $4.70   $1.51 / oz  Out of stock      
Great Value Table Grind Black Pepper Seasoning, 18 oz	   $12.84   71.3¢ / oz  Out of stock      
Celestial Seasonings Herb Tea, Black Cherry Berry - 20 Tea Bags	   $3.39       
Zhenas Gypsy Tea 0785592 Raspberry Earl Black Tea, 22 Bags - Case of 6	   $42.31    List price  $56.32     Save $14.01   
Tea Section Black Tea Bags, 80 count, 7.05 oz	   $4.44   63.0¢ / oz     
Tea Section Blackberry Green Tea Bags, 20 count, 1.41 oz	   $2.89   $2.05 / oz     
Stash Tea - Premium Holiday Chai Black Tea - 18 Tea Bags	   $3.45       
Pineapple Waikiki Tropical Black Tea 20 Tea Bags	   $24.99       
Salada Black Tea Naturally Decaffeinated Tea Bags, 48 ct	   $2.48   76.3¢ / oz     
Mighty Leaf Tea Orange Dulce Black Tea Bags, 15 count, (Pack of 2)	   $16.14   $8.07 / each     
Rishi, Masala Chai, Organic Black Tea, 15 Tea Bags	   $19.99       
Mango Maui Black Tea 20 Tea bags	   $17.99       
Wissotzky Tea English Breakfast Black Tea Bags, 16 count, 1.4 oz, (Pack of 6)	   $30.17   $3.59 / oz     
Farmer Brothers Decaf Tea Bags, Orange Pekoe & Pekoe Tea - Black Tea, 100 count	   $22.99       
Foojoy Lichee Black Tea 100 Tea Bags - 7 Oz	   $14.99       
Lipton Black Tea Bags, 100 ct	   $3.65   45.6¢ / oz     
Ahmad Teas - Mango Black Tea 1.4oz - 20 Tea Bags	   $12.99       
Chocolate Puerh - Black Tea Blend Numi Teas 16 Bag	   $7.72    List price  $9.65     Save $1.93   
Ahmad Teas - Strawberry Black Tea 1.4oz - 20 Tea Bags	   $14.99       
Bigelow Tea - Black Tea Decaffeinated English Tea Time - 20 Tea Bags	   $4.95       
Tazo Awake English Breakfast Black Tea Tea Bags, 20ct	   $58.76    Out of stock      
Salada: Black Tea Original Blend Tea Bags, 100 Ct	   $2.88   36.0¢ / oz  Out of stock      
Minute Instant Whole Grain Brown Rice, 28 oz	   $3.98   14.2¢ / oz     
Augason Farms Emergency Food Long Grain Brown Rice, 26 lb	   $23.88   5.7¢ / oz     
Dynasty Jasmine Brown Rice, 5 lb	   $6.62   8.3¢ / oz     
Seeds of Change Quinoa & Whole Grain Brown Rice with Garlic, 8.5 oz	   $2.60   30.6¢ / oz     
Minute Instant Brown Rice, 14 oz	   $2.08   14.9¢ / oz     
Texmati Organic Brown Rice, 32 oz (Pack of 4)	   $28.98   22.6¢ / oz     
Bombay Original Brown Basmati Rice, 10 lb (Pack of 1)	   $29.89   $2.99 / oz     
Nishiki: Brown Rice, 5 Lb	   $7.38   9.2¢ / oz     
Lundberg Wild Gourmet Blend Of Wild & Whole Grain Brown Rice, 16 oz	   $28.10    List price  $38.07     Save $9.97   
Lundberg Family Farms Short Grain Brown Rice, 32 oz (Pack of 6)	   $19.61   10.2¢ / oz     
Hodgson Mill Gluten Free Angel Hair Brown Rice Pasta with Golden Milled Flax Seed, 8 oz	   $2.64   2.8¢ / oz     
Great Value Brown Rice, 5 lbs	   $3.38   4.2¢ / oz  Out of stock      
Mahatma: Natural Long Grain Rice Brown, 28 Oz	   $2.26   7.1¢ / oz  Out of stock      
Botan Calrose Brown Rice, 5 lb	   $5.98   7.5¢ / oz  Out of stock      
Uncle Ben's Original Brown Rice, 2 lb	   $3.65   11.4¢ / oz  Out of stock      
Iberia Long Grain Brown Rice, 5 lb	   $3.48   87.0¢ / oz  Out of stock      
Golden Star Brown Jasmine Rice, 2 lbs	   $3.18   9.9¢ / oz  Out of stock      
Uncle Ben's Natural Whole Grain Brown Rice, 5 lbs	    Out of stock      
Success: Brown Natural Whole Grain Boil-In-Bag 4 Ct Rice, 14 oz	   $2.12   15.1¢ / oz  Out of stock      
Texmati Long Grain American Basmati Brown Rice, 36 oz	   $5.48   17.1¢ / oz  Out of stock      
Wholesome! Organic Light Brown Sugar, 24 oz	   $3.65   15.2¢ / oz     
Duncan Hines® Chewy Fudge Brownie Mix 4-19.9 oz. Pouches	   $5.83   7.3¢ / oz     
Betty Crocker® Walnut Supreme Brownie Mix 16.5 oz. Box	   $2.39   14.5¢ / oz     
Ghirardelli Caramel Turtle Brownie Mix, 18.5 Oz	   $2.08   11.2¢ / oz     
Ghirardelli Dark Chocolate Brownie Mix, 20 oz	   $2.08   10.4¢ / oz     
Ghirardelli Ultimate Fudge Brownie Mix, 18 Oz	   $2.08   11.6¢ / oz     
Ghirardelli Triple Fudge Brownie Mix, 19 oz	   $2.08   11.0¢ / oz     
Ghirardelli Double Chocolate Brownie Mix, 20 Oz (Pack of 4)	   $8.32       
Duncan Hines Decadent Triple Chocolate W/Real Chocolate Chunks & Real Fudge Cake Mix 21 Oz Box	   $2.92   13.9¢ / oz     
Duncan Hines® Decadent Classic Carrot Cake Mix 21.41 oz. Box	   $2.78   13.0¢ / oz     
Betty Crocker® Angel Food Cake Mix 16 oz. Box	   $2.74   17.1¢ / oz     
Del Monte Fresh Cut Golden Sweet Whole Kernel Corn, 15.25 oz, 4 count	   $3.48   5.7¢ / oz     
Dole Pineapple Chunks in 100% Pineapple Juice, 23.5 oz	   $2.38   9.7¢ / oz     
Bumble Bee: Chunk Light In Water 5 Oz Cans Tuna, 4 Ct	   $3.72   18.6¢ / oz     
StarKist® Chunk Light Tuna in Water 8-5 oz. Pack	   $7.09   17.7¢ / oz     
Bumble Bee Albacore Solid White In Water 5 oz Tuna, 4 ct	   $6.28   31.4¢ / oz     
Bumble Bee Albacore Solid White In Water Tuna, 12 oz	   $3.79   31.6¢ / oz     
Bumble Bee Chunk Light Tuna in Water, 5 oz, (Pack of 10)	   $9.64   19.3¢ / oz     
Chicken of the Sea Chunk Light Tuna in Water, 5 oz, 4 count	   $3.57   17.9¢ / oz     
Bumble Bee Chunk Light In Water Tuna, 12 oz	   $2.38   19.8¢ / oz     
Bumble Bee: Chunk Light In Oil Tuna, 12 Oz	   $2.38   19.8¢ / oz     
StarKist® Solid White Albacore Tuna in Water 12 oz. Can	   $3.48   29.0¢ / oz     
Bumble Bee Solid White Albacore Tuna Gourmet Prime Fillet, 5 oz	   $2.08   41.6¢ / oz     
Bumble Bee Prime Fillet Solid White Albacore In Water Tuna, 4ct	   $7.98   39.9¢ / oz     
Bumble Bee Tonno In Olive Oil Solid Light Tuna, 5 oz	   $2.08   41.6¢ / oz     
StarKist® Chunk Light Tuna in Vegetable Oil 12 oz. Can	   $2.38   19.8¢ / oz     
Bumble Bee Albacore Solid White Tuna In Water, 5 oz	   $2.08   41.6¢ / oz     
StarKist Selects® Solid Yellowfin Tuna Fillet in Extra Virgin Olive Oil 4-4.5 oz. Cans	   $5.97   33.2¢ / oz     
Great Value Chunk Light Tuna in Water, 5 oz, 4 count	   $2.96   14.8¢ / oz  Out of stock      
StarKist® Solid White Albacore Tuna in Water 4-5 oz. Cans	   $5.74   28.7¢ / oz  Out of stock      
Great Value Chunk Light Tuna In Water, 12 oz	   $2.22   18.5¢ / oz  Out of stock      
StarKist® Chunk Light Tuna in Water 12 oz. Can	   $2.48   20.7¢ / oz  Out of stock      
Chicken of the Sea Solid White Albacore Tuna in Water, 5 oz, 4 count	   $5.64   28.2¢ / oz  Out of stock      
Crisco Pure All Natural Canola Oil, 48 oz	   $3.13   6.5¢ / fl oz     
Wesson Pure 100% Natural Canola Oil, 48 Fl Oz	   $3.40   7.1¢ / fl oz     
Wesson Pure 100% Natural Canola Oil, 64 oz	   $4.96   7.8¢ / fl oz     
Spectrum Naturals: Organic Canola Oil, 16 Fl Oz	   $5.12   32.0¢ / fl oz     
Spectrum Naturals Organic Canola Oil, 32 oz (Pack of 6)	   $71.98   37.5¢ / fl oz     
Smart Balance: Omega Natural Blend Of Canola, Soy & Olive Oils Oil, 48 Fl Oz	   $4.18   8.7¢ / fl oz     
Spectrum Organic Canola Oil, 32 fl oz	   $9.16   28.6¢ / fl oz     
Spectrum Canola Oil High Heat Cooking Spray, 6 oz (Pack of 6)	   $40.51   $1.12 / fl oz     
Spectrum Naturals Canola Oil, 16 oz (Pack of 6)	   $46.57   48.5¢ / fl oz     
Great Value 100% Pure Canola Oil, 1 gal	   $5.98   4.7¢ / fl oz  Out of stock      
Great Value: Canola Oil, 48 Oz	   $2.38   5.0¢ / fl oz  Out of stock      
Crisco Pure All Natural Canola Oil, 1 gal	   $7.33   5.7¢ / fl oz  Out of stock      
Wesson Pure 100% Natural Canola Oil, 1 Gal	   $8.38   6.6¢ / fl oz  Out of stock      
Crisco Canola Pure All Natural Oil, 64 fl oz	   $5.21   8.1¢ / fl oz  Out of stock      
Crisco Canola Oil with Omega-3 DHA, 16 fl oz	   $3.13   19.6¢ / fl oz  Out of stock      
Great Value: Blended Canola Oil, 48 oz	   $2.38   5.0¢ / fl oz  Out of stock      
Great Value Canola Oil Cooking Spray, 8 oz	   $2.00   25.0¢ / oz  Out of stock      
Gold 'n Flavor Canola Oil, 48 fl oz	   $2.08   4.3¢ / fl oz  Out of stock      
Wesson Pure Canola Oil, 24 Oz	   $2.74   11.4¢ / fl oz  Out of stock      
LifeOiL Non-GMO Canola Oil, 33.8 oz	   $3.01   8.9¢ / oz  Out of stock      
Planters Cashew Halves & Pieces, 26 oz	   $12.05   46.4¢ / oz     
Planters Deluxe Lightly Salted Whole Cashews, 18.25 oz	   $9.44   51.7¢ / oz     
Planters Deluxe Whole Cashews, 18.25 oz	   $9.44   51.7¢ / oz     
Great Value Unsalted Deluxe Cashews, 16 oz	   $7.98   49.9¢ / oz     
Planters Cashew Halves & Pieces, 8 oz	   $4.98   62.3¢ / oz     
Great Value Deluxe Cashews, 16 oz	   $7.98   49.9¢ / oz     
Planters Deluxe Whole Honey Roasted Cashews, 8.25 oz	   $5.84   70.8¢ / oz     
Great Value Cashews Halves & Pieces, 12 oz	   $5.48   45.7¢ / oz     
Planters Lightly Salted Cashew Halves & Pieces, 14 oz	   $7.48   53.4¢ / oz     
Planters Cashew Halves & Pieces, 14 oz	   $7.48   53.4¢ / oz     
Planters Mixed Nuts, 27 oz	   $12.41   46.0¢ / oz     
Cheerios Family Size Gluten Free Cereal, 21 oz (Pack of 2)	   $7.96       
Honey Nut Cheerios® Cereal 26.6 oz. Box	   $4.53   17.0¢ / oz     
Honey Nut Cheerios Gluten Free Cereal, 26.6 oz (Pack of 2)	   $9.06       
Frosted Cheerios Gluten Free Cereal, 12 oz (Pack of 2)	   $6.26       
Multi Grain Cheerios Gluten Free Cereal, 18 oz (Pack of 2)	   $8.16       
Cheez-It Original Baked Snack Crackers, box of 12.4 oz	   $2.89   23.3¢ / oz     
Cheez-It White Cheddar Baked Snack Crackers, 12.4 oz	   $2.89   23.3¢ / oz     
Cheez-It Pepper Jack Baked Snack Crackers, 12.4 oz	   $2.89   23.3¢ / oz     
Cheez-It Grooves Zesty Cheddar Ranch Crispy Cracker Chips, 9 oz	   $2.89   32.1¢ / oz     
Cheez-It BIG Original Baked Snack Crackers, 11.7 oz	   $3.01   25.7¢ / oz     
Cheez-It Duoz Sharp Cheddar/Parmesan Baked Snack Crackers, 12.4 oz	   $2.89   23.3¢ / oz     
Cheez-It Whole Grain Baked Snack Crackers, 12.4 oz	   $3.02   24.4¢ / oz     
Cheez-It Cheddar Jack Baked Snack Crackers, 12.4 oz	   $2.89   23.3¢ / oz     
Cheez-It Baby Swiss Baked Snack Crackers, box of 12.4 oz	   $2.89   23.3¢ / oz     
Cheez-It Star Wars Baked Snack Crackers, 12.4 oz	   $3.02   24.4¢ / oz     
Cheez-It Mozzarella Baked Snack Crackers, box of 12.4 oz	   $3.02   24.4¢ / oz     
Cheez-It Grooves Sharp White Cheddar Crispy Cracker Chips, 9 oz (Pack of 3)	   $8.67       
Cheez-It Original/White Cheddar/Cheddar Jack Baked, 12 ct, 12.1 oz	   $4.00   33.1¢ / oz     
Cheez-It Extra Toasty Baked Snack Crackers, 12.4 oz	   $2.89   23.3¢ / oz  Out of stock      
Cheez-It Smokey Provolone Baked Snack Crackers, 12.4 oz	   $3.02   24.4¢ / oz  Out of stock      
Cheez-It Zingz Chipotle Cheddar Baked Snack Crackers, 12.4 oz	   $3.02   24.4¢ / oz  Out of stock      
Cheez-It Scrabble Junior Baked Snack Crackers, 12.4 oz	   $3.02   24.4¢ / oz  Out of stock      
Cheez-It Colby Baked Snack Crackers, box of 12.4 oz	   $3.02   24.4¢ / oz  Out of stock      
Cheez-It Zingz Queso Fundido Baked Snack Crackers, 12.4 oz	   $3.02   24.4¢ / oz  Out of stock      
Cheez-It Marvel Avengers Age of Ultron Baked Snack Crackers, 12.4 oz	   $2.89   23.3¢ / oz  Out of stock      
Oregon Fruit Products Pitted Dark Sweet Cherries in Heavy Syrup, 15 oz	   $3.42   22.8¢ / oz     
Swanson 100% Natural Natural Goodness Chicken Broth 32oz	   $8.96       
Great Value Chicken Broth, 48 oz	   $2.34   4.9¢ / oz     
Swanson 100% Natural Natural Goodness Chicken Broth 48oz	   $3.13   6.5¢ / oz     
Swanson 100% Natural Natural Goodness Chicken Broth 48oz	   $3.13   6.5¢ / oz     
Swanson Natural Goodness 100% Fat Free Chicken Broth, 32oz (Pack of 4)	   $8.32       
Swanson Chicken Broth, 32oz (Pack of 4)	   $8.04       
Rachael Ray Low Sodium Chicken Stock, 32 fl oz	   $2.62   8.2¢ / oz     
Swanson 99% Fat Free Chicken Broth, 49.5 oz (Pack of 3)	   $8.04       
Swanson Organic Chicken Broth, 32 oz (Pack of 3)	   $8.64       
Manischewitz Chicken Broth, 14 oz (Pack of 12)	   $31.44   18.7¢ / fl oz     
